
Wyoming,113.242,106.445,0.670803,13-10,13,23,51.8,50.6,39.9,48.2,17.7,16.8,35,27,66.2415,53.9,52.5,32.7,31.8,0,0,53.9,45.9,43,38,66.2415,,,,2026,,,,-3.85264,74.6,
Minnesota,114.871,100.536,0.822426,11-12,11,23,53.2,50.2,41.2,30.4,16.4,17.2,28.8,29.6,63.3641,55.9,49.1,33.3,34.4,0,0,73.2,58.4,45.6,41.5,63.3641,,,,2026,,,,-2.80305,69.5,
Illinois,131.556,96.9969,0.97082,20-3,20,23,56.1,46.6,34.3,18.1,14.2,11.5,39.6,26,65.825,58.2,46.3,36.1,31.4,0,0,51.8,50.4,51.2,41.3,65.825,,,,2026,,,,6.52175,78.9,
LIU,105.268,108.461,0.414929,15-8,15,23,52.2,50.8,33.3,34.9,19.7,18.5,36,32.6,68.3292,51.4,52.1,36.2,32.2,0,0,50.6,48.8,29.9,33.4,68.3292,,,,2026,,,,-3.92558,65.5,
UTEP,101.692,110.996,0.267623,8-15,8,23,47.4,51.5,30.1,44.6,17.5,18.9,27.1,33.8,64.5043,46,52.2,33.1,33.6,0,0,49.7,52.2,38.7,37.3,64.5043,,,,2026,,,,-10.8609,69.8,
"Loyola Chicago",104.461,115.545,0.238716,6-18,6,24,49.3,52.3,34.2,34.5,19.7,12.6,32.9,31,66.0961,51.8,48.7,31,38,0,0,59.3,61.6,47.2,43.6,66.0961,,,,2026,,,,-12.9988,68,
Texas,125.275,106.04,0.871803,14-9,14,23,54.9,49.7,47.4,40.8,15.5,14.6,37.6,27.5,67.1382,57.2,48.2,34.1,35,0,0,44.7,46,38.6,35,67.1382,,,,2026,,,,0.125366,74.3,
"Maryland Eastern Shore",94.0675,113.646,0.102071,8-16,8,24,47.6,50.7,28.1,40.9,23.5,17.4,30.1,33,63.0888,49.6,51.8,29.1,32.8,0,0,57.2,56.3,34.1,41.1,63.0888,,,,2026,,,,-10.8052,70.2,
"Western Illinois",93.8364,121.782,0.0475256,4-20,4,24,43.8,54.7,38.2,37.4,17.6,15.6,29,34.7,65.754,43.3,53.8,29.9,37.6,0,0,34.7,50.9,31.9,36.6,65.754,,,,2026,,,,-17.3504,67.7,
"Fairleigh Dickinson",101.604,117.192,0.162284,8-16,8,24,47,55.4,31.9,37.9,17.3,16.7,30.8,28.5,65.114,47.8,53.9,30.7,38.3,0,0,50.9,52.8,46.7,41.2,65.114,,,,2026,,,,-12.0179,69.9,
